Date,AKRA.JK,ANTM.JK,ASII.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BJBR.JK,BMRI.JK,BTPS.JK,DSNG.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,SMGR.JK,TLKM.JK,UNTR.JK,UNVR.JK
2022-05-23,845.54,2207.15,5558.85,6971.92,4048.57,3742.94,1367.78,1229.3,3564.01,2679.66,525.92,7506.81,7623.15,5674.88,9292.83,1277.8,3573.15,1535.21,6082.57,3585.76,20571.29,4284.57
2022-05-24,845.54,2242.05,5718.82,6948.29,4151.5,3855.32,1388.44,1242.06,3586.64,2734.16,521.35,7671.54,7746.5,5564.04,9408.12,1273.24,3611.99,1521.09,6269.73,3620.66,21022.26,4223.11
2022-05-25,858.16,2172.26,5678.83,6971.92,4082.88,3760.23,1384.31,1229.3,3552.7,2588.83,512.2,7765.67,7499.8,5674.88,9408.12,1254.98,3689.66,1535.21,6105.97,3664.28,20935.53,4187.99
2022-05-27,853.95,2154.81,5778.81,7160.99,4208.68,3924.47,1388.44,1242.06,3665.84,2670.58,512.2,8118.65,7697.16,5697.04,9546.48,1264.11,3738.21,1516.38,6269.73,3751.52,21091.64,4179.21
2022-05-30,870.78,2233.33,5798.8,7160.99,4208.68,3829.38,1384.31,1229.3,3711.1,2779.58,512.2,8048.06,7919.2,5719.21,9431.18,1314.31,3893.57,1535.21,6714.23,3707.9,20987.57,4082.63
2022-05-31,942.29,2189.71,5878.79,7326.43,4197.25,4002.27,1404.97,1242.06,3846.87,2770.5,507.63,8071.59,8116.56,5852.22,8970.0,1300.62,3883.86,1612.21,6831.2,3760.25,21716.06,4152.87
2022-06-02,900.23,2189.71,5858.79,7160.99,4048.57,3872.6,1384.31,1237.81,3711.1,2852.25,516.78,8048.06,7820.52,5940.89,9085.3,1286.93,3854.73,1544.84,6714.23,3742.8,21941.55,4205.55
2022-06-03,900.23,2180.98,5838.79,7184.62,4094.32,3907.18,1384.31,1237.81,3711.1,2815.92,507.63,8071.59,7573.81,5918.72,9039.18,1341.69,3806.18,1540.03,6644.04,3760.25,22618.01,4144.09
2022-06-06,938.09,2171.0,5778.81,7042.82,4071.44,3829.38,1392.57,1233.55,3688.47,2743.25,507.63,8142.19,7524.47,6140.39,9131.42,1364.51,3786.76,1578.53,6737.62,3786.42,22323.14,4187.99
2022-06-07,929.67,2144.42,5758.81,6971.92,4071.44,3803.45,1380.18,1246.31,3756.36,2725.08,503.06,8071.59,7549.14,6140.39,9277.13,1369.07,3757.63,1535.21,6690.83,3707.9,22774.11,4152.87
2022-06-08,929.67,2144.42,5738.82,7184.62,4117.19,3863.96,1342.99,1254.82,3801.61,2752.33,507.63,8071.59,7598.48,6184.73,9374.27,1332.56,3815.89,1564.09,6761.01,3707.87,22930.22,4293.35
